OBJECTID,EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
-1,880671,Adams,CARL,3/28/2020 0:00:00,1259,Tornado,,EF0,0,0,30000,0,IA,CST-6,,146548,C,3,DMX,0,0,Emergency Manager,,0.570000000000000,100,3,NE,3,W,WILLIAMSON,3/28/2020 0:00:00,1300,41.150700000000001,-94.636799999999994,41.157899999999998,-94.631600000000006,Tornado developed just south of the Adams/Adair county line moving northeast.  The tornado encountered a farmstead producing EF0 damage to an outbuilding.  The northeast trajectory took the tornado into Adair county shortly after impacting the farmstead.,Six tornadoes occurred across central Iowa during the afternoon.  The tornadoes remained in rural areas with some damage to farm buildings and trees.  No injuries or deaths were reported.,1
-1,880672,Adair,FISK,3/28/2020 0:00:00,1300,Tornado,,EF1,0,0,95000,0,IA,CST-6,,146548,C,1,DMX,0,0,Emergency Manager,,6.900000000000000,115,6,WSW,4,NNW,FISK,3/28/2020 0:00:00,1315,41.157899999999998,-94.631600000000006,41.244300000000003,-94.565200000000004,Tornado moved into Adair county from Adams county.  The tornado remained in rural southern Adair county as it moved to the northeast.  It did encounter one farmstead and produced EF1 damage to an outbuilding along with additional tree damage.  The rest of the track was in rural cropland before dissipating several miles south of Fontanelle.,Six tornadoes occurred across central Iowa during the afternoon.  The tornadoes remained in rural areas with some damage to farm buildings and trees.  No injuries or deaths were reported.,2
-1,880684,Marshall,RHODES,3/28/2020 0:00:00,1526,Tornado,,EF0,0,0,0,0,IA,CST-6,,146548,C,127,DMX,0,0,Storm Chaser,,1.300000000000000,75,4,SSW,2,SSW,RHODES,3/28/2020 0:00:00,1528,41.881900000000002,-93.206000000000003,41.900500000000001,-93.202200000000005,"Several different videos of this tornado as it started over State Highway 330 and move mostly northward.  It moved through a few different groves of tree producing EF0 damage.  Otherwise, it remained in rural areas with no damage to any structures.",Six tornadoes occurred across central Iowa during the afternoon.  The tornadoes remained in rural areas with some damage to farm buildings and trees.  No injuries or deaths were reported.,3
-1,880685,Black Hawk,VOORHIES,3/28/2020 0:00:00,1639,Tornado,,EFU,0,0,0,0,IA,CST-6,,146548,C,13,DMX,0,0,Trained Spotter,,2.320000000000000,40,1,SSE,2,ENE,VOORHIES,3/28/2020 0:00:00,1642,42.313600000000001,-92.468599999999995,42.339900000000000,-92.440399999999997,"Picture of tornado near Voorhies was received from trained spotter.   The path of the tornado was later discovered in high resolution satellite imagery and adjusted accordingly.  The tornado remained in rural farm fields although passed very close to a house near the intersection of State Highway 175 and Highway 63, although no damage was reported.  With no damage occurring to any damage indicators, the tornado was rated an EFU.",Six tornadoes occurred across central Iowa during the afternoon.  The tornadoes remained in rural areas with some damage to farm buildings and trees.  No injuries or deaths were reported.,4
-1,880686,Black Hawk,ORANGE,3/28/2020 0:00:00,1649,Tornado,,EF0,0,0,75000,0,IA,CST-6,,146548,C,13,DMX,0,0,Broadcast Media,,2.060000000000000,115,1,SW,1,N,ORANGE,3/28/2020 0:00:00,1651,42.420099999999998,-92.387400000000000,42.446100000000001,-92.367599999999996,Tornado developed in rural farmland between Hudson and Waterloo moving quickly northeast.  The tornado encountered an building site destroying a hay shelter building that was open on both sides.  Additional damage occurred to a small storage building and trees on the site.  All damage was rated EF0.  The tornado continued northeast and dissipated before reaching Highway 20 on the south side of Waterloo.,Six tornadoes occurred across central Iowa during the afternoon.  The tornadoes remained in rural areas with some damage to farm buildings and trees.  No injuries or deaths were reported.,5
-1,880687,Black Hawk,EVANSDALE,3/28/2020 0:00:00,1655,Tornado,,EFU,0,0,0,0,IA,CST-6,,146548,C,13,DMX,0,0,Storm Chaser,,0.320000000000000,20,2,W,2,WNW,EVANSDALE,3/28/2020 0:00:00,1656,42.472499999999997,-92.313800000000001,42.475800000000000,-92.309500000000000,"Brief tornado was caught on video by a storm chaser.  The chaser was located just south of the Highway 20 and Highway 218 intersection looking northward toward downtown Waterloo.  The tornado occurred in an unpopulated area southeast of downtown near the Waterloo Waste Water Treatment Plant along the Cedar River.  It is likely some tree damage occurred, however no reports were received, therefore the tornado was rated EFU.",Six tornadoes occurred across central Iowa during the afternoon.  The tornadoes remained in rural areas with some damage to farm buildings and trees.  No injuries or deaths were reported.,6
-1,880150,Buchanan,JESUP,3/28/2020 0:00:00,1715,Tornado,,EF1,0,0,0,0,IA,CST-6,,146466,C,19,DVN,0,0,NWS Storm Survey,,7.380000000000000,50,3,NW,3,SE,FAIRBANK,3/28/2020 0:00:00,1725,42.508600000000001,-92.080900000000000,42.603499999999997,-92.014399999999995,"A tornado touched down north of Jesup, Iowa about 615 PM CDT, March 28th. The tornado moved northeast and caused damage to outbuildings and a barn, and uprooted trees at a farmstead. The tornado was on the ground for about 10 minutes, and traveled a little more than 7 miles. The tornado was rated EF-1, with maximum winds around 90 mph.","A strong low pressure system tracked from southwest Iowa to north central Iowa Saturday afternoon. Storms developed, moved across a warm front, and four tornadoes touched down over eastern Iowa and northwest Illinois.  A few other storms brought small hail and damaging wind to portions of the region Saturday night.",7
-1,878419,Fayette,OELWEIN MUNI ARPT,3/28/2020 0:00:00,1730,Tornado,,EF1,0,0,165000,5000,IA,CST-6,,146196,C,65,ARX,1,0,Emergency Manager,,3.930000000000000,140,3,SE,2,NNW,OELWEIN,3/28/2020 0:00:00,1736,42.648000000000003,-91.941400000000002,42.701300000000003,-91.914599999999993,"An EF1 tornado moved through the west and northwest side of Oelwein during the late afternoon of March 28th. The tornado produced extensive tree damage at Red Gate Park, blew in the wall of an apartment building and damaged the siding and roof of a second apartment building. The building that sustained the wall damage was condemned. One person was injured at the apartment complex when they stepped on broken glass. At least two vehicles parked outside the apartment complex were heavily damaged.","Thunderstorms developed along a warm front across portions of northeast Iowa during the late afternoon of March 28th. These storms spawned two tornadoes that touched down in Fayette County. The first tornado moved through the western sections of Oelwein, damaging apartment buildings and numerous trees in Red Gate Park and a nearby cemetery. One of the damaged apartment buildings was condemned. The second tornado damaged several farm buildings near Maynard. The storms also produced some large hail with quarter sized hail reported in Elkader (Clayton County) and Monona (Clayton County).",8
-1,878425,Fayette,MAYNARD,3/28/2020 0:00:00,1740,Tornado,,EF0,0,0,75000,0,IA,CST-6,,146196,C,65,ARX,0,0,Emergency Manager,,3.600000000000000,50,1,SSE,3,NNE,MAYNARD,3/28/2020 0:00:00,1743,42.752499999999998,-91.855199999999996,42.804000000000002,-91.844800000000006,An EF0 tornado touched down touched down southeast of Maynard and move north-northeast before dissipating between Maynard and Fayette. Several farm buildings were damaged along the path of the tornado.,"Thunderstorms developed along a warm front across portions of northeast Iowa during the late afternoon of March 28th. These storms spawned two tornadoes that touched down in Fayette County. The first tornado moved through the western sections of Oelwein, damaging apartment buildings and numerous trees in Red Gate Park and a nearby cemetery. One of the damaged apartment buildings was condemned. The second tornado damaged several farm buildings near Maynard. The storms also produced some large hail with quarter sized hail reported in Elkader (Clayton County) and Monona (Clayton County).",9
-1,880154,Dubuque,SHERRILL,3/28/2020 0:00:00,1925,Tornado,,EF1,0,0,0,0,IA,CST-6,,146466,C,61,DVN,0,0,NWS Storm Survey,,3.800000000000000,50,2,WSW,2,NNE,SHERRILL,3/28/2020 0:00:00,1931,42.594700000000003,-90.813800000000001,42.628999999999998,-90.755300000000005,"An EF-1 tornado developed southeast of Sherrill and moved northeast causing significant damage to outbuildings and uprooting trees at several farmsteads. The tornado was rated EF-1 with maximum wind speeds estimated around 110 mph. There were no injuries, and the damaged ended before it crossed the Mississippi River.","A strong low pressure system tracked from southwest Iowa to north central Iowa Saturday afternoon. Storms developed, moved across a warm front, and four tornadoes touched down over eastern Iowa and northwest Illinois.  A few other storms brought small hail and damaging wind to portions of the region Saturday night.",10
